Num Sol. Externa,Numero,Fecha Programado GyP,Fecha Solicitud Servicio SDM,Programdo/Demanda,Especial,Tipo Servicio,Clase Servicio,ANS,Estado Servicio,Estado Detalle Servicio,Movil,Gruas,Tipo Grua,Entidad,Direccion,Clase Vehículo,Vehiculo,Parq Destino,Localidad,Coor Magna Sirgas,Fecha Cancela,Usuario Cancela,Fecha Cargando,Antelacion,Retraso,Tiempo Cancela Antelacion,Tiempo Cancela Retraso,Observacion,Obs Detalle,Obs Cambia Estado
250972,S-221923,10/05/2022 07:55:41,10/05/2022 07:55:41,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,160,ESO237,PLANCHON,Policia,CL 59 S 77G 25,Automovil,No Aplica,No Aplica,BOSA," X:1734176.4188381,Y:-6119340.0955394,Z:508043.7708524",,,10/05/2022 07:56:59,00:00:00,00:01:18,00:00:00,00:00:00,160 ATIENDE,,
250978,S-221929,10/05/2022 08:31:10,10/05/2022 08:31:10,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,148,ESO148,PLANCHON,Policia,KR 45 187 00,Taxi,No Aplica,No Aplica,SUBA," X:1747962.842758,Y:-6113844.2474419,Z:526502.37286932",,,10/05/2022 08:31:47,00:00:00,00:00:37,00:00:00,00:00:00,148 ATIENDE ,,
250991,S-221942,10/05/2022 09:58:17,10/05/2022 09:58:17,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,208,FUZ638,GANCHO PESADO,Policia,CL 11A 40 10,Buseta,No Aplica,No Aplica,PUENTE ARANDA," X:1742188.065644,Y:-6116865.9566694,Z:510406.56426168",,,10/05/2022 10:00:18,00:00:00,00:02:01,00:00:00,00:00:00,208 ATIENDE ,,
250993,S-221944,10/05/2022 10:06:12,10/05/2022 10:06:12,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,134,ESO134,PLANCHON,Policia,KR 136A 145 00,Automovil,No Aplica,No Aplica,SUBA," X:1741001.7867364,Y:-6115939.3664921,Z:525240.66130481",,,10/05/2022 10:06:32,00:00:00,00:00:20,00:00:00,00:00:00,134 ATIENDE ,,
251000,S-221951,10/05/2022 10:53:38,10/05/2022 10:53:38,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,45,WGQ471,PLANCHON,Policia,AC 19 30 01,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1743614.7764298,Y:-6116465.932516,Z:510329.10118864",,,10/05/2022 10:54:32,00:00:00,00:00:54,00:00:00,00:00:00,45 ATIENDE,,
251002,S-221953,10/05/2022 11:06:49,10/05/2022 11:06:49,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,188,GUV456,PLANCHON,Policia,AC 6 22 04,Automovil,No Aplica,No Aplica,LOS MARTIRES," X:1743317.8754618,Y:-6116698.9969813,Z:508558.89728669",,,10/05/2022 11:16:33,00:00:00,00:09:44,00:00:00,00:00:00,188 ATIENDE ,Cambio de estado por Evento en Grua: 188,
251005,S-221956,10/05/2022 11:16:29,10/05/2022 11:16:29,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,143,ESO143,PLANCHON,Policia,CL 107 S 8 06 E,Automovil,No Aplica,No Aplica,USME," X:1742715.2118876,Y:-6117908.7595042,Z:496001.44597588",,,10/05/2022 11:19:01,00:00:00,00:02:32,00:00:00,00:00:00,143 ATIENDE ,,
251006,S-221957,10/05/2022 11:17:24,10/05/2022 11:17:24,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,198,FUZ418,GANCHO LIVIANO,Policia,DG 71A Sur # 14 - 0 Este,Automovil,No Aplica,No Aplica,SAN CRISTOBAL," X:1743588.5018323,Y:-6117377.4247603,Z:499450.38271917",,,10/05/2022 11:18:30,00:00:00,00:01:06,00:00:00,00:00:00,198 ATIENDE ,,
251022,S-221973,10/05/2022 11:43:55,10/05/2022 11:43:55,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,209,FUZ639,GANCHO PESADO,Policia,KR 18B 60G 42 S,Camion,No Aplica,No Aplica,CIUDAD BOLIVAR," X:1738416.7087636,Y:-6118485.8310903,Z:503851.87257857",,,10/05/2022 11:48:31,00:00:00,00:04:36,00:00:00,00:00:00,209 ATIENDE ,,
251037,S-221988,10/05/2022 12:04:47,10/05/2022 12:04:47,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,174,ESO056,PLANCHON,Policia,AC 23 33 16,Automovil,No Aplica,No Aplica,TEUSAQUILLO," X:1743710.270909,Y:-6116370.4177348,Z:511141.44214084",,,10/05/2022 12:22:35,00:00:00,00:17:48,00:00:00,00:00:00,174 ATIENDE ,,
251064,S-222015,10/05/2022 12:46:00,10/05/2022 12:46:00,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,100,WGQ746,PLANCHON,Policia,CL 139 118 09,Automovil,No Aplica,No Aplica,SUBA," X:1741385.0462126,Y:-6115915.6519777,Z:524252.02610492",,,10/05/2022 12:47:03,00:00:00,00:01:03,00:00:00,00:00:00,100 ATIENDE ,,
251067,S-222018,10/05/2022 13:49:57,10/05/2022 13:49:57,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,202,FVK049,GANCHO LIVIANO,Policia,KR 72 53 00,Buseta,No Aplica,No Aplica,ENGATIVA," X:1741568.2846514,Y:-6116556.291945,Z:516161.13584188",,,10/05/2022 13:50:16,00:00:00,00:00:19,00:00:00,00:00:00,202 ATIENDE ,,
251070,S-222021,10/05/2022 14:32:05,10/05/2022 14:32:05,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,208,FUZ638,GANCHO PESADO,Policia,AK 72 75 02,Buseta,No Aplica,No Aplica,ENGATIVA," X:1743060.5233098,Y:-6115948.5933919,Z:518305.97564122",,,10/05/2022 14:33:24,00:00:00,00:01:19,00:00:00,00:00:00,208 ATIENDE ,,
251074,S-222025,10/05/2022 14:55:50,10/05/2022 14:55:50,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,193,FUZ413,GANCHO LIVIANO,Policia,DG 16 104 17,Automovil,No Aplica,No Aplica,FONTIBON," X:1736646.904869,Y:-6117944.8428391,Z:516285.61770072",,,10/05/2022 15:00:37,00:00:00,00:04:47,00:00:00,00:00:00,193 ATIENDE ,,
251076,S-222027,10/05/2022 14:58:28,10/05/2022 14:58:28,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,199,FUZ419,GANCHO LIVIANO,Policia,CL 11A 40 10,Buseta,No Aplica,No Aplica,PUENTE ARANDA," X:1742188.065644,Y:-6116865.9566694,Z:510406.56426168",,,10/05/2022 14:59:47,00:00:00,00:01:19,00:00:00,00:00:00,199 ATIENDE ,,
251083,S-222034,10/05/2022 16:38:19,10/05/2022 16:38:19,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,172,ESO054,PLANCHON,Policia,AC 80 114 01,Automovil,No Aplica,No Aplica,ENGATIVA," X:1739886.9332429,Y:-6116562.1584096,Z:521694.59244568",,,10/05/2022 16:38:32,00:00:00,00:00:13,00:00:00,00:00:00,172,,
251087,S-222038,10/05/2022 17:18:58,10/05/2022 17:18:58,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,213,JKV647,PLANCHON,Policia,AK 68D 18 20,Automovil,No Aplica,No Aplica,FONTIBON," X:1740414.0153188,Y:-6117136.1139006,Z:513194.66043134",,,10/05/2022 17:19:58,00:00:00,00:01:00,00:00:00,00:00:00,213 ATIENDE ,,
251088,S-222039,10/05/2022 17:48:34,10/05/2022 17:48:34,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,207,FVL793,GANCHO PESADO,Policia,CL 11A 40 10,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1742188.065644,Y:-6116865.9566694,Z:510406.56426168",,,10/05/2022 17:49:02,00:00:00,00:00:28,00:00:00,00:00:00,207 ATIENDE ,,
251089,S-222040,10/05/2022 17:52:45,10/05/2022 17:52:45,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,188,GUV456,PLANCHON,Policia,CL 52 S 8A 06,Automovil,No Aplica,No Aplica,TUNJUELITO," X:1740153.2613968,Y:-6118016.7219863,Z:503555.62115722",,,10/05/2022 17:53:17,00:00:00,00:00:32,00:00:00,00:00:00,188 ATIENDE ,,
251092,S-222043,10/05/2022 18:08:21,10/05/2022 18:08:21,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,150,ESO150,PLANCHON,Policia,KR 19 6A 27,Automovil,No Aplica,No Aplica,LOS MARTIRES," X:1743653.7639872,Y:-6116613.9380566,Z:508431.262708",,,10/05/2022 18:09:01,00:00:00,00:00:40,00:00:00,00:00:00,150 ATIENDE ,,
251093,S-222044,10/05/2022 18:28:07,10/05/2022 18:28:07,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,197,FUZ417,GANCHO LIVIANO,Policia,AC 1 18 20,Buseta,No Aplica,No Aplica,LOS MARTIRES," X:1743440.0461467,Y:-6116753.1555284,Z:507494.76996251",,,10/05/2022 18:48:02,00:00:00,00:19:55,00:00:00,00:00:00,197 ATIENDE ,,
251095,S-222046,10/05/2022 18:36:24,10/05/2022 18:36:24,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,132,ESO132,PLANCHON,Policia,CL 22 S 10 00,Automovil,No Aplica,No Aplica,ANTONIO NARIÑO," X:1743096.9357632,Y:-6117004.2554642,Z:505655.92798992",,,10/05/2022 18:40:18,00:00:00,00:03:54,00:00:00,00:00:00,132 ATIENDE ,,
251096,S-222047,10/05/2022 18:56:49,10/05/2022 18:56:49,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,133,ESO133,PLANCHON,Policia,AC 9 54 31,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1741083.3457351,Y:-6117103.2399665,Z:511325.36817679",,,10/05/2022 18:57:17,00:00:00,00:00:28,00:00:00,00:00:00,133 ATIENDE ,,
251097,S-222048,10/05/2022 19:12:20,10/05/2022 19:12:20,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,159,ESO236,PLANCHON,Policia,KR 73A 77A 07,Automovil,No Aplica,No Aplica,ENGATIVA," X:1743069.0706864,Y:-6115909.8379476,Z:518731.48424699",,,10/05/2022 19:24:23,00:00:00,00:12:03,00:00:00,00:00:00,159 ATIENDE ,,
251101,S-222052,10/05/2022 19:59:49,10/05/2022 19:59:49,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,160,ESO237,PLANCHON,Policia,KR 92 162 00,Automovil,No Aplica,No Aplica,SUBA," X:1744287.6357098,Y:-6114974.2216226,Z:525573.831587",,,10/05/2022 20:01:21,00:00:00,00:01:32,00:00:00,00:00:00,160 ATIENDE ,,
251102,S-222053,10/05/2022 20:01:07,10/05/2022 20:01:07,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,207,FVL793,GANCHO PESADO,Policia,AK 114 80 00,Buseta,No Aplica,No Aplica,ENGATIVA," X:1739923.7209326,Y:-6116548.039844,Z:521737.14375142",,,10/05/2022 20:01:33,00:00:00,00:00:26,00:00:00,00:00:00,207 ATIENDE ,,
251103,S-222054,10/05/2022 20:01:49,10/05/2022 20:01:49,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,206,FVL792,GANCHO PESADO,Policia,CL 11A 40 10,Buseta,No Aplica,No Aplica,PUENTE ARANDA," X:1742188.065644,Y:-6116865.9566694,Z:510406.56426168",,,10/05/2022 20:02:18,00:00:00,00:00:29,00:00:00,00:00:00,206 ATIENDE ,,
251104,S-222055,10/05/2022 20:22:52,10/05/2022 20:22:52,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,202,FVK049,GANCHO LIVIANO,SDM,DG 23 69 00,Buseta,No Aplica,No Aplica,FONTIBON," X:1740771.4254016,Y:-6116943.3497779,Z:514271.67280474",,,10/05/2022 20:33:47,00:00:00,00:10:55,00:00:00,00:00:00,TERMINAL SALITRE BUSETA -316 4610726,,
251106,S-222057,10/05/2022 20:39:42,10/05/2022 20:39:42,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,160,ESO237,PLANCHON,Policia,KR 45 97 06,Motocicletas,No Aplica,No Aplica,CHAPINERO," X:1746837.5704174,Y:-6114924.5040262,Z:517677.01362419",,,10/05/2022 20:40:18,00:00:00,00:00:36,00:00:00,00:00:00,160 ATIENDE ,,
251111,S-222062,10/05/2022 23:31:24,10/05/2022 23:31:24,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,151,ESO151,PLANCHON,Policia,CL 45A S 51D 03,Automovil,No Aplica,No Aplica,TUNJUELITO," X:1738811.3007393,Y:-6118058.7968779,Z:507635.84504069",,,10/05/2022 23:31:45,00:00:00,00:00:21,00:00:00,00:00:00,151 atiende ,,
251112,S-222063,10/05/2022 23:44:56,10/05/2022 23:44:56,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Anulado,197,FUZ417,GANCHO LIVIANO,Policia,AC 45A S 50 02,Automovil,No Aplica,No Aplica,PUENTE ARANDA," X:1739592.2782577,Y:-6117834.2702851,Z:507665.90692458",,,10/05/2022 23:51:08,00:00:00,00:06:12,00:00:00,00:00:00,197 atiende ,,
251113,S-222064,10/05/2022 23:53:19,10/05/2022 23:53:19,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Anulado,135,ESO135,PLANCHON,Policia,CL 49B Sur # 9 - 0,Automovil,No Aplica,No Aplica,RAFAEL URIBE," X:1740532.2929305,Y:-6117884.2840552,Z:503852.60468398",,,10/05/2022 23:57:19,00:00:00,00:04:00,00:00:00,00:00:00,135 atiende ,,
250961,S-221912,10/05/2022 07:03:43,10/05/2022 07:03:43,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Completado,44,WNN347,PLANCHON,Policia,Cra. 13a  77a,Automovil,CVC287,Parqueadero Aut. 1,CHAPINERO," X:1746758.1005891,Y:-6115145.0342317,Z:515350.64321155",,,10/05/2022 08:27:59,00:00:00,01:24:16,00:00:00,00:00:00,uso particular,,
250961,S-221912,10/05/2022 07:03:43,10/05/2022 07:03:43,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Completado,44,WNN347,PLANCHON,Policia,Cra. 13a  77a,Automovil,ZII173,Parqueadero Aut. 1,CHAPINERO," X:1746758.1005891,Y:-6115145.0342317,Z:515350.64321155",,,10/05/2022 08:27:59,00:00:00,01:24:16,00:00:00,00:00:00,uso particular,,
250961,S-221912,10/05/2022 07:03:43,10/05/2022 07:03:43,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Completado,44,WNN347,PLANCHON,Policia,Cra. 13a  77a,Motocicletas,PEY70F,Parqueadero Aut. 1,CHAPINERO," X:1746758.1005891,Y:-6115145.0342317,Z:515350.64321155",,,10/05/2022 08:27:59,00:00:00,01:24:16,00:00:00,00:00:00,uso particular,,
250961,S-221912,10/05/2022 07:03:43,10/05/2022 07:03:43,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Completado,44,WNN347,PLANCHON,Policia,Cra. 13a  77a,Motocicletas,YUK40D,Parqueadero Aut. 1,CHAPINERO," X:1746758.1005891,Y:-6115145.0342317,Z:515350.64321155",,,10/05/2022 08:27:59,00:00:00,01:24:16,00:00:00,00:00:00,uso particular,,
250992,S-221943,10/05/2022 10:05:06,10/05/2022 10:05:06,Demanda,No,INMOVILIZACION,Inmovilización en Vía,No Cumplio,Terminado,Completado,149,ESO149,PLANCHON,Policia,Autopista AUTONORTE  106 75,Automovil,No Aplica,No Aplica,USAQUEN," X:1746957.5611171,Y:-6114804.7068282,Z:518679.40615548",,,,00:00:00,00:00:00,00:00:00,00:00:00,uso particular,Cambio de estado por Evento en Grua: otra,422- SE ENVIO OTRA GRUA 
250994,S-221945,10/05/2022 10:06:51,10/05/2022 10:06:51,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,137,ESO137,PLANCHON,Policia,Cra. 7 41 20,Motocicletas,CHA14F,Parqueadero Aut. 1,CHAPINERO," X:1745858.6939425,Y:-6115729.6772335,Z:511472.20553247",,,10/05/2022 10:25:51,00:00:00,00:19:00,00:00:00,00:00:00,uso particular,"Cambio de estado por Evento en Grua: otra,Cambio de estado por Evento en Grua: otra",
250994,S-221945,10/05/2022 10:06:51,10/05/2022 10:06:51,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,137,ESO137,PLANCHON,Policia,Cra. 7 41 20,Automovil,ZYP157,Parqueadero Aut. 1,CHAPINERO," X:1745858.6939425,Y:-6115729.6772335,Z:511472.20553247",,,10/05/2022 10:25:51,00:00:00,00:19:00,00:00:00,00:00:00,uso particular,"Cambio de estado por Evento en Grua: otra,Cambio de estado por Evento en Grua: otra",
250994,S-221945,10/05/2022 10:06:51,10/05/2022 10:06:51,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,137,ESO137,PLANCHON,Policia,Cra. 7 41 20,Automovil,IMK931,Parqueadero Aut. 1,CHAPINERO," X:1745858.6939425,Y:-6115729.6772335,Z:511472.20553247",,,10/05/2022 10:25:51,00:00:00,00:19:00,00:00:00,00:00:00,uso particular,"Cambio de estado por Evento en Grua: otra,Cambio de estado por Evento en Grua: otra",
250935,S-221886,10/05/2022 01:13:07,10/05/2022 01:13:07,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,AC 72 26 07,Automovil,BZX869,PARQUEDERO TRANSITORIO,BARRIOS UNIDOS," X:1745707.1773957,Y:-6115447.8216894,Z:515318.88145615",,,10/05/2022 01:14:02,00:00:00,00:00:55,00:00:00,00:00:00,m151,,
250935,S-221886,10/05/2022 01:13:07,10/05/2022 01:13:07,Demanda,No,ACCIDENTE,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,AC 72 26 07,Camioneta,WPR534,PARQUEDERO TRANSITORIO,BARRIOS UNIDOS," X:1745707.1773957,Y:-6115447.8216894,Z:515318.88145615",,,10/05/2022 01:14:02,00:00:00,00:00:55,00:00:00,00:00:00,m151,,
250936,S-221887,10/05/2022 02:21:02,10/05/2022 02:21:02,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,159,ESO236,PLANCHON,Policia,CL 7 10 37,Automovil,IXR473,Parqueadero Aut. 1,SANTA FE," X:1744532.4314541,Y:-6116410.0164691,Z:507873.80706108",,,10/05/2022 02:22:47,00:00:00,00:01:45,00:00:00,00:00:00,159 ATIENDE,,
250937,S-221888,10/05/2022 03:42:35,10/05/2022 03:42:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,KR 55 15 02,CicloMotor,1606814,Parqueadero Aut. 1,PUENTE ARANDA," X:1741483.4279807,Y:-6116954.5579538,Z:511738.64690876",,,10/05/2022 03:43:02,00:00:00,00:00:27,00:00:00,00:00:00,151 ATIENDE,,
250937,S-221888,10/05/2022 03:42:35,10/05/2022 03:42:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,KR 55 15 02,CicloMotor,1606815,Parqueadero Aut. 1,PUENTE ARANDA," X:1741483.4279807,Y:-6116954.5579538,Z:511738.64690876",,,10/05/2022 03:43:02,00:00:00,00:00:27,00:00:00,00:00:00,151 ATIENDE,,
250937,S-221888,10/05/2022 03:42:35,10/05/2022 03:42:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,KR 55 15 02,CicloMotor,1606818,Parqueadero Aut. 1,PUENTE ARANDA," X:1741483.4279807,Y:-6116954.5579538,Z:511738.64690876",,,10/05/2022 03:43:02,00:00:00,00:00:27,00:00:00,00:00:00,151 ATIENDE,,
250937,S-221888,10/05/2022 03:42:35,10/05/2022 03:42:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,KR 55 15 02,CicloMotor,1606819,Parqueadero Aut. 1,PUENTE ARANDA," X:1741483.4279807,Y:-6116954.5579538,Z:511738.64690876",,,10/05/2022 03:43:02,00:00:00,00:00:27,00:00:00,00:00:00,151 ATIENDE,,
250937,S-221888,10/05/2022 03:42:35,10/05/2022 03:42:35,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,151,ESO151,PLANCHON,Policia,KR 55 15 02,CicloMotor,1606820,Parqueadero Aut. 1,PUENTE ARANDA," X:1741483.4279807,Y:-6116954.5579538,Z:511738.64690876",,,10/05/2022 03:43:02,00:00:00,00:00:27,00:00:00,00:00:00,151 ATIENDE,,
250938,S-221889,10/05/2022 04:45:56,10/05/2022 04:45:56,Demanda,No,ACCIDENTE,Inmovilización en Vía,No Cumplio,Terminado,Completado,143,ESO143,PLANCHON,Policia,KR 128 139 33,Taxi,WHR454,PARQUEDERO TRANSITORIO,SUBA," X:1741014.9133756,Y:-6116003.1427458,Z:524459.23320642",,,10/05/2022 06:01:22,00:00:00,01:15:26,00:00:00,00:00:00,AUTOMOVIL 3134414205,,400
250939,S-221890,10/05/2022 05:17:21,10/05/2022 05:17:21,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,190,FUZ552,PLANCHON,Policia,AC 26 S 72 02,Automovil,SFU609,PARQUEDERO TRANSITORIO,KENNEDY," X:1738144.3984477,Y:-6118017.4841218,Z:510391.4841069",,,10/05/2022 05:41:15,00:00:00,00:23:54,00:00:00,00:00:00,190 ATIENDE,,
250939,S-221890,10/05/2022 05:17:21,10/05/2022 05:17:21,Demanda,No,INMOVILIZACION,Inmovilización en Vía,Cumplio,Terminado,Completado,190,FUZ552,PLANCHON,Policia,AC 26 S 72 02,Motocicletas,MBK65F,Parqueadero Aut. 1,KENNEDY," X:1738144.3984477,Y:-6118017.4841218,Z:510391.4841069",,,10/05/2022 05:41:15,00:00:00,00:23:54,00:00:00,00:00:00,190 ATIENDE,,
